Sexo,Años cumplidos,Estatura,Peso,Carrera,Semestre,Consumo de verduras en el desayuno/comida/cena,Actividad fisica en la semana,Obstaculos para realizar ejercicio,Lugares con comida balanceada
Hombre,21,180,90,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas, Falta de motivación",No
Mujer,19,162,53,Ingeniería en Diseño,Tercer semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,19,153,65,Ingeniería en Diseño,Tercer semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,No
Hombre,19,165,67,Ingeniería en Diseño,Tercer semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,156,67,Ingeniería en Diseño,Tercer semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,19,160,47,Ingeniería en Diseño,Tercer semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,21,154,51.9,Licenciatura en Ciencias Empresariales,Séptimo semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,19,168,65,Ingeniería en Diseño,Tercer semestre,Todos los días,2-3 veces,Falta de tiempo debido a la Universidad,No
Mujer,21,154,45,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,2-3 veces,Falta de motivación,No
Hombre,22,172,73.5,Ingeniería en Mecatronica,Noveno semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,21,170,75,Ingeniería en Mecatronica,Quinto semestre,2-3 veces,1 vez,Falta de motivación,No
Mujer,21,155,55,Ingeniería en Mecatronica,Quinto semestre,Todos los días,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,24,167,70,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,22,154,66,Ingeniería en Mecatronica,Noveno semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,23,175,71.7,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,23,160,60,Ingeniería en Mecatronica,Séptimo semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,21,181,65,Ingeniería en Mecatronica,Séptimo semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,22,155,58,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,1 vez,Falta de motivación,Si
Hombre,23,171,107,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,2-3 veces,Falta de tiempo debido a la Universidad,Si
Mujer,22,165,67,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,22,145,65,Ingeniería en Mecatronica,Séptimo semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,23,160,68,Ingeniería en Mecatronica,Séptimo semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,No
Hombre,18,180,78,Ingeniería en Mecatronica,Primer semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,No
Hombre,19,174,78,Ingeniería en Diseño,Tercer semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,Si
Hombre,22,153,79,Ingeniería en Electrónica,Quinto semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,20,158,72,Ingeniería en Diseño,Noveno semestre,Todos los días,2-3 veces,Falta de motivación,No
Mujer,22,157,77,Ingeniería industrial,Tercer semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,24,183,84,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,20,197,70,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,23,153,84,Ingeniería en Mecatronica,Noveno semestre,1 vez,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,22,185,78,Licenciatura en Ciencias Empresariales,Séptimo semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,24,161,75,Ingeniería industrial,Noveno semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,20,188,57,Ingeniería industrial,Noveno semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,21,177,56,Ingeniería en Diseño,Séptimo semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,19,175,61,Ingeniería en Diseño,Tercer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,22,187,77,Ingeniería en Diseño,Quinto semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,23,166,66,Ingeniería en Diseño,Séptimo semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,22,171,74,Ingeniería en Mecanica Automotriz,Tercer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,22,185,83,Licenciatura en Ciencias Empresariales,Tercer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,22,152,79,Ingeniería industrial,Séptimo semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,20,184,77,Ingeniería en Diseño,Noveno semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,21,163,78,Ingeniería en Mecatronica,Quinto semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,20,153,59,Ingeniería en Diseño,Séptimo semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,22,167,71,Licenciatura en Ciencias Empresariales,Séptimo semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,22,151,74,Ingeniería en Mecanica Automotriz,Quinto semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,Si
Hombre,19,195,84,Ingeniería industrial,Tercer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,177,77,Ingeniería en Electrónica,Primer semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,23,167,84,Ingeniería en Diseño,Noveno semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,22,153,59,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,Todos los días,Falta de motivación,No
Mujer,23,180,68,Ingeniería en Mecatronica,Primer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,182,73,Licenciatura en Ciencias Empresariales,Séptimo semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,20,192,59,Ingeniería en Electrónica,Tercer semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,Si
Mujer,19,198,72,Ingeniería industrial,Tercer semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,21,173,60,Ingeniería industrial,Séptimo semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,23,167,61,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,Si
Hombre,19,172,59,Ingeniería en Mecatronica,Noveno semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,No
Mujer,23,174,82,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,24,185,74,Licenciatura en Ciencias Empresariales,Séptimo semestre,Todos los días,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,22,157,82,Ingeniería industrial,Séptimo semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,19,167,62,Ingeniería en Mecatronica,Séptimo semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,24,196,84,Ingeniería en Mecatronica,Noveno semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,23,157,72,Ingeniería en Mecatronica,Quinto semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,23,190,79,Ingeniería industrial,Primer semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,20,163,63,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,Todos los días,Falta de motivación,No
Hombre,21,180,58,Ingeniería en Electrónica,Noveno semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,23,174,61,Ingeniería en Mecatronica,Quinto semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,Si
Mujer,20,191,67,Ingeniería industrial,Séptimo semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,19,195,81,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,178,74,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,Ningún día,Falta de motivación,No
Hombre,23,191,71,Ingeniería en Mecatronica,Quinto semestre,2-3 veces,1 vez,Falta de motivación,No
Hombre,19,156,58,Ingeniería industrial,Primer semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,21,151,63,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,22,153,67,Ingeniería en Electrónica,Noveno semestre,Todos los días,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,20,167,78,Ingeniería en Mecatronica,Primer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,22,174,57,Ingeniería industrial,Séptimo semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,181,76,Licenciatura en Ciencias Empresariales,Primer semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,No
Mujer,23,171,78,Ingeniería industrial,Noveno semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,No
Mujer,22,172,60,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,2-3 veces,Falta de motivación,Si
Hombre,24,177,69,Ingeniería industrial,Séptimo semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,24,180,76,Licenciatura en Ciencias Empresariales,Tercer semestre,1 vez,Todos los días,Falta de motivación,Si
Hombre,19,163,85,Licenciatura en Ciencias Empresariales,Séptimo semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,24,169,58,Ingeniería industrial,Primer semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,24,173,68,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,Ningún día,Falta de motivación,Si
Hombre,21,158,65,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,23,154,58,Ingeniería industrial,Primer semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,22,180,73,Licenciatura en Ciencias Empresariales,Séptimo semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,21,190,68,Licenciatura en Ciencias Empresariales,Séptimo semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,20,189,70,Ingeniería industrial,Primer semestre,Todos los días,Ningún día,Falta de motivación,No
Mujer,24,169,60,Licenciatura en Ciencias Empresariales,Tercer semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,No
Hombre,24,157,61,Ingeniería industrial,Séptimo semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,Si
Hombre,20,173,58,Ingeniería industrial,Séptimo semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,20,177,66,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,23,162,82,Ingeniería en Electrónica,Primer semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,Si
Mujer,20,196,64,Ingeniería en Electrónica,Séptimo semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,23,190,66,Ingeniería en Electrónica,Primer semestre,2-3 veces,1 vez,Falta de motivación,Si
Hombre,20,164,65,Ingeniería en Diseño,Primer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,21,178,62,Ingeniería industrial,Primer semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,154,61,Ingeniería en Electrónica,Primer semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,Si
Hombre,24,196,84,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,21,170,80,Ingeniería en Diseño,Tercer semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,24,195,81,Ingeniería en Mecatronica,Noveno semestre,Todos los días,1 vez,Falta de motivación,No
Hombre,21,170,82,Licenciatura en Ciencias Empresariales,Primer semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,22,190,73,Ingeniería en Diseño,Tercer semestre,2-3 veces,Todos los días,Falta de motivación,No
Mujer,22,167,78,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,22,180,60,Ingeniería industrial,Quinto semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,23,174,61,Ingeniería industrial,Séptimo semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,22,170,66,Ingeniería en Mecanica Automotriz,Primer semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,19,160,69,Ingeniería en Mecatronica,Tercer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,189,55,Ingeniería industrial,Tercer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,22,174,84,Ingeniería en Diseño,Noveno semestre,1 vez,2-3 veces,Falta de motivación,Si
Mujer,24,173,59,Ingeniería en Mecanica Automotriz,Primer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,21,168,60,Ingeniería industrial,Séptimo semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,Si
Mujer,24,155,57,Ingeniería en Electrónica,Tercer semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,22,170,63,Ingeniería en Diseño,Tercer semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,23,153,78,Ingeniería en Electrónica,Noveno semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,Si
Mujer,20,160,75,Ingeniería industrial,Séptimo semestre,Todos los días,2-3 veces,Falta de tiempo debido a la Universidad,Si
Mujer,20,164,82,Ingeniería en Mecatronica,Primer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,20,184,84,Ingeniería en Mecanica Automotriz,Tercer semestre,Todos los días,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,19,152,56,Ingeniería en Electrónica,Primer semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,19,195,56,Ingeniería en Diseño,Primer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,22,162,79,Ingeniería en Electrónica,Noveno semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,21,190,68,Ingeniería en Mecanica Automotriz,Tercer semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,No
Hombre,21,161,77,Ingeniería en Diseño,Tercer semestre,Todos los días,Ningún día,Falta de motivación,No
Hombre,21,178,55,Ingeniería en Mecanica Automotriz,Quinto semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,24,163,65,Ingeniería en Mecatronica,Tercer semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,19,158,55,Ingeniería en Electrónica,Séptimo semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,21,153,61,Ingeniería industrial,Noveno semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,21,183,72,Ingeniería en Electrónica,Tercer semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,19,178,75,Ingeniería industrial,Quinto semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,19,162,80,Ingeniería en Mecatronica,Noveno semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,23,195,74,Ingeniería industrial,Primer semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,24,183,65,Ingeniería en Electrónica,Tercer semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,20,156,65,Licenciatura en Ciencias Empresariales,Tercer semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,23,156,69,Ingeniería en Diseño,Noveno semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,22,196,55,Ingeniería industrial,Primer semestre,1 vez,2-3 veces,Falta de motivación,No
Mujer,23,182,80,Ingeniería en Electrónica,Primer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,21,161,85,Ingeniería en Electrónica,Séptimo semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,24,163,76,Ingeniería en Mecanica Automotriz,Primer semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,167,83,Ingeniería industrial,Séptimo semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,169,77,Ingeniería en Mecanica Automotriz,Noveno semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,19,185,55,Ingeniería en Diseño,Noveno semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,21,176,62,Ingeniería industrial,Noveno semestre,2-3 veces,Ningún día,Falta de motivación,No
Hombre,21,166,81,Ingeniería industrial,Quinto semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,21,178,67,Ingeniería industrial,Tercer semestre,1 vez,1 vez,Falta de motivación,Si
Hombre,24,196,76,Ingeniería en Mecatronica,Séptimo semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,Si
Hombre,20,197,56,Ingeniería en Mecatronica,Tercer semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,24,157,79,Ingeniería en Electrónica,Primer semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,22,197,76,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,19,174,61,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,22,156,66,Ingeniería en Mecanica Automotriz,Primer semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,23,172,75,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,21,153,77,Ingeniería en Diseño,Tercer semestre,Todos los días,2-3 veces,Falta de tiempo debido a la Universidad,Si
Mujer,24,164,68,Ingeniería industrial,Séptimo semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,20,194,71,Ingeniería en Mecatronica,Quinto semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,22,182,66,Ingeniería en Electrónica,Noveno semestre,2-3 veces,1 vez,Falta de motivación,No
Hombre,23,196,70,Ingeniería en Diseño,Séptimo semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,22,181,56,Ingeniería industrial,Primer semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,24,183,83,Ingeniería en Mecanica Automotriz,Séptimo semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,176,69,Ingeniería en Mecatronica,Noveno semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,19,169,70,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,Todos los días,Falta de motivación,Si
Hombre,19,162,84,Ingeniería industrial,Quinto semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,24,176,69,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,24,177,78,Ingeniería en Mecanica Automotriz,Quinto semestre,1 vez,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,24,158,68,Ingeniería en Diseño,Tercer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,169,75,Ingeniería en Diseño,Primer semestre,1 vez,Ningún día,Falta de motivación,No
Hombre,21,170,84,Ingeniería industrial,Séptimo semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,21,153,72,Ingeniería en Mecatronica,Quinto semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,21,176,76,Ingeniería en Diseño,Noveno semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,19,158,73,Ingeniería en Electrónica,Quinto semestre,Todos los días,Ningún día,Falta de motivación,No
Hombre,20,192,55,Ingeniería en Mecanica Automotriz,Primer semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,22,188,62,Ingeniería en Mecatronica,Primer semestre,2-3 veces,1 vez,Falta de motivación,No
Hombre,24,182,74,Ingeniería industrial,Primer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,24,170,70,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,No
Mujer,23,169,57,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,24,176,71,Ingeniería en Diseño,Quinto semestre,2-3 veces,1 vez,Falta de motivación,Si
Hombre,23,156,82,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,1 vez,Falta de motivación,No
